review,place
"Hai friends I want to share here my experience from the place kodaikanal. Kodaikanal is the very coolest and very relaxing place in thamil Nadu. Everyone day thousands of people are coming there to enjoy the climate there. I went there many times with my family and friends as well. But the main problem is to reach there. It is full of hair pin roads and very difficult for driving. Many accidents had happened there because of the invisibility of the opposite vehicles . There the airport facility is there but from there again have to take the same roads to reach there. Some roads are with full gutters and chances are more for accidents. The local sight seeing good. We can see many of places with natural beauty. Many gardens, suicide point, museum, boating, ropeway etc are there. But there the roads and surroundings are not cleaned and hygiene. People are polluting the roads like anything. The tourists places are not maintaining properly. So for kids this place is not comfortable. The facilities for trashing is not good. The charge for some spot seeing is very costly and not worthful. Many hotels and restaurants are available there. But they are charging by seeing the customers. There is no fixed rate for the food and rooms. So we should have to compare it very well before deciding the hotels and restaurants. There it is very safety place only. The people are  very helpful and coperate. But at the place of boating,  I could not felt any safety measures. So overall I am not happy with this tourist place mainly because of polluted surroundings.",Kodaikanal
"People in Kodaikanal urinate in the public places without having second thoughts. Whether it is near the lake or the main road or the places where people walk around. Government has provided with public toilets, which people should really use. Most of the tourist places are stinking of urine badly. If this is the case how foreign citizens will think about?",Kodaikanal
"Let me tell you what you will get to see here The temple is located near the beach. Although the beach is not that clean. There is a boating facility which I am sure we all enjoy. Infrastructure of the temple is Just Awesome. In the evening the Sunset scenery is out of this world. The hotel facility is decent. In the evening you will always find an atmosphere of festival which is really cool. All in all, the place is really good.",Murdeshwar
I have been to agra in 2016 to see taj mahal with a few friends. I deborded there at 11 in the morning. And took the auto for taj mahal which wasn't far away from there. We went there but the auto driver wasnt nice at all. He was trying to portray an image of agra Wala's that they are richest and coolest. Any way we went to tajmahal but it was not open for general public for that time. So we thought to go around. And fixed a deal with a cab driver to go a little siteseeing. He said he will take us to meena bazar famous market there but took us to a local shop there in a different street there. Again he was traing to make a fool out of us. And such thing kept happening all day. Bottom line is agra people are not kind or generous or even humble. If you go there be aware of your surroundings and do research.,Agra
"I went to kodaikanal around 6 months back with my friends. We were 6 in number and visited in the month of may. We went in bus, first from my place ( kerala) to bangalore and then from bangalore to kodaikanal. When I reached there the weather was cold and since it had rained a day before. We stayed in the nearby cottege. The location of the cottage was so beautiful and felt as if I was living amidst the cloud. Best for sightseeing We booked a cab to roam around the city. We covered vatican falls, guna cave, pillar rock, mannavur lake, dolphin nose, suicide point. We also went for boating in the lake and cycling around the lake. The view from suicide point and walk in the guna cave was excellent. It was a wonderful experience. Next day we went for trekking amongst the beautiful hills. The weather was bit cold, but was a great experience. All the sceneries were super, took a lot of photos and enjoyed our time. The stay at the cottege was good. The food was excellent.",Kodaikanal
"Sinhgad is the fort located in Pune district Haveli taluka. It is the fort in sahyadri mountain having near about 1300 meters above sea level. The fort is built almost 2000 years ago and having its own history. This fort is named as Kondhana before the war of Tanaji Malusare and udaybhan. After that war named is given as SINHGAD by the King Shiwaji. We can reach to the fort by Bus or private vehicle. For train and plain nearest station is Pune. From Pune we can reach at the fort by cab or public transport. If we go from private vehicle we can reach up to the top of mountain. If we go from the public Bus we can reach at the base point. For fort seeing we required at least 2-3 hours. there are two main doors for entering the fort. There are not big hotels at sinhgad but we can get food on stalls at fort. Main food course on the fort is same and popular. The Kanda Bhaji, Zunka bhakar, Curd on the fort is famous. many peoples are coming on fort for the delicious food. Sinhgad is more attractive in rainy days.",Sinhagad
"KODAIKANAL is one of the very Popular Holiday Destinations of South India. It is referred to as the ""Princess of Hill Stations"" and it stands 7200 feet above sea level resting on the upper Palani Hills of the Western Ghats near Madurai in Tamil Nadu. History states that this is the only Indian Hill Station developed by the Americans. Now here are some of the Pointers on how to get in to Kodaikanal. > BY AIR: Madurai( 120 kms) , Coimbatore( 170 kms) and Trichy( 150 kms) are the nearest Airports to Kodaikanal. Direct Bangalore to Kodaikanal flights are unavailable. Those who are keen on flying can opt to take a flight to one of these airports and then opt for the roadways. > By RAIL: Kodaikanal Road Train station is nearly 85 kms to Kodaikanal. There are many direct trains from Bangalore to Kodaikanal and the known one are the Tuticorin Express and the Nagarcoil Express. > By ROAD: Kodaikanal is very well connected with all the major Towns via roadways and a good number of Buses are available. The Bangalore to Kodaikanal distance of approximately 470 kms and can be covered within 7 hours with steady driving. Self Drive is a good option so that the journey will be more comfortable with rest stops and local sight seeing on the way. The road is tarred and broad and is safe even at nights( what I felt) . Now Popular Sightseeing Places: KODAI LAKE > The Kodai lake, a man made structure of circumference of more than 5 km, is a beautiful place. Cycling, horse riding, walking and boating are the various activities that can be done there. BERIJAM LAKE > This lake covered almost by forest should be definitely at the first of the to do list in Kodaikanal.  Limited number of cars only allowed every day and we were told about 50-75 cars only allowed as per permit from the Forest department.  Rs.200/- will be charged as entry fee at the check post and a form needs to be filled. COAKERS WALK > Named after an Englishman Coakers walk is a one kilometer walk near a church. Located at height of 2150 metre this is a very good spot for a nice photo shoot with family over looking the Kodai Valley. PILLAR ROCKS > Please do not miss this view point. If you are lucky enough and there is not dense fog you will be able to see the two rocks which looks like pillars. Please be careful about the monkeys as they are very cunning and are very good at snatching things. GUNA CAVE > Trust me you will fell in love with this place. The small walk/trek from the counter gate till the caves is also great. These caves, earlier known as the ‘Devil’s Kitchen’, have now been fenced off due to the some unexpected accidents. But this is a great place for the Selfie Lovers. There are other places to be seen such as: Pine forest, Kurinji Andavar Temple, Poombarai Village View, La Saleth Church, Moir Point etc. Now where to STAY: There are many option for staying at Kodaikanal. Good and Budget hotels are available, the only thing we need to have a check is the availability. The best thing I love to have in Kodaikanal is the IDLI SAMBAR near the bus stand. An elderly couple will be serving hot IDLI, VADA and other stuff and it really taste great. Any one can get the taste from 6.30 AM till 11 AM. The best things that can be purchased for ourselves and our loved ones back home are the Home Made Chocolates, Tea Powder and a variety of Herbal oils with medicinal values. Now to conclude my review I will use my Title line, Indeed Kodai is an Awsome and evergreen destination which everyone should visit once.",Kodaikanal
"Well known Eco park is situated at Rajarhat, Newtown, North 24 Parganas. Just 500-600 m from Narkelbagan and Nearest to the Mothers Wax Museum. It is open till night 8 pm and public vehicles are always there. You can view mother wax museum and the Kolkata Gate when you visit eco park. This Park is maintained by WBHIDCO govt of West Bengal. Withing few years of it establishment it has become popular among families as well as youngsters as because of pleasant atmosphere and calm place near the Tilottoma. The 480 acre park is surrounded by 104 acre water body which is the most attraction of the park. There are 2 parking lots. Lots of views, hangouts, fountains, trees grasses. At the center of the park there is an island. The land portion is well maintained clean filled with grass, pedestrian zigzag roads. There are rides of two seated bicycle, pedal boats, water plays etc Every day there occurs an open air water show(fountain theater) which is amazing. For couples there are lots of place to walk and talk places. To spend some romantic moments the park is beautiful. The dusky evenings are not less than a haven. Any one can also book the Lonely island called'Ekante' to spend some hours to feel  lonely island in the midst of busy Kolkata. Rest when you visit. Thanks.",Eco Park - New Town - Kolkata
Hello friends today I share my picnic experience with you On 12 nov 2017 I reached to kolkata with my family we already booked the hotel from bhilai by sanjay tours and travels we stay 2 days in hotel amit international room was good well clean and maintained 24×7 water facility was there which I like it Food was not so expensive I can afford it We hire car also bus was avialable so it is easy to access are 2 hours to reach The palace is situated between two rivers We hire boat fare to reach Great spot to sit on trees we enjoy swiming water was not so deep around ten feets Great breeze come on day time I love it Overall I spend  great time there I suggest others to go once in life,Machranga Dweep (Kingfisher Island)
Daltonganj is one of the best city who improved day by day vary fast. daltonganj city satuated in jharkhand in palamu these city population about 150000 . daltontonganj have also a another name is madininagar .i am also a datonganj citizen and I love my small city daltonganj .these city has much secure and safe for womens. thanks.,Daltonganj
"I just took opportunity to write a review on Goden temple located at Sripuram in Tamilnadu state.This is Lakshmi Narayani or Mahalakshmi temple coated with gold both interior and exterior.About 1.5 tonns of gold has been used and Rs 600 crore is spent to build the temple covers 55, 000 sq ft. We started our journey from Bangalore(Vijayanagar)on Saturday 11.00AM in my Swift. It was 12:30 when we reach Narayana hridayalaya due to traffic. I took 10 mins break then drove towards Hosur. This is NH7 neat road with cat eyes erected and borders are painted with white color, this helps a lot during the night driving. After driving about 45 kms, there is a toll plaza, near Krishnagiri, pay Rs25(One way) Next there are 2 flyovers, gon’t go over the 2nd flyover. Take left side lane, drive for a km, you get signal and take left(towards Chennai/Vellore) leaving behind the NH7, now you are on NH46. There is one more Toll plaza near Ambur, paid Rs 35, keep drove for another 10 mins.It was 2:30PM feeling hungry, found a hotel on the way(LHS), Motel Rosin, we had lunch, food quality was not good but there were no other options. We continued our journey and drove till Pallikondaj Toll plaza, paid Rs 45.When we were near to Vellore(5Km), I found a sign board to Sripuram.I asked a local person how to reach the Golden temple. He suggest 2 routes. One from Vellore the distance will be 13 Kms. And the 2nd route(Just 5 KMS) is from the same place where we asked him for the route.(I am sorry, I don’t remember that place.) I decided to take 2nd option because it was 4:00PM and if I go Vellore city, it may take more time due to traffic. Road was very narrow but good, there are 2 -3 small villages on the way and need not to ask anybody about the rout. Because once they spot the car, they show you the rout even before you ask them. They knew those vehicles are heading toward Golden temple. After driving 3 Km, mud road starts and drove for another 2 Km. We reached the backside of the temple and drove along the compound wall till the main entrance.There were many Pay –n – Park sign boards on the road. For safety reason, do not park anywhere, but go the temple premises pay Rs 10 and park your vehicle. Temple timings: 07:00AM to 9:00PM(queue will be closed by 8:30PM). Restrictions: Mobile phones/cameras not allowed. Need to submit at the special counter and get the receipt or keep them in your car. Girls with mini skirts(even if the age is 6-8 Yrs) are not allowed to enter the temple. In this case, you need to buy a cloth from the nearby shop located in temple premises(security persons will suggest where to buy and what to buy). With Free Darshan, you have to walk through the queue complex just like in Tirupati, It will take 2-3 Hrs.With Rs 150, you will skip the queue complex and directy enter the temple, but you need to walk through the star shaped path to reach the main temple.With Rs 250 Darshan, you will be allowed to sit for 10 mins in the temple near to Amma and offer special pooja. You have to pass through the two levels of security check inside the temple. People should walk through the star shaped path way to reach the temple. It is about 1.5 KM.The messages of'Amma' and quotes from Bhagavad Gita, Bible and Quran are displayed On either side of the pathway. Though the people's focus will be on the temple in gold. Temple is surrounded by water; I found coins, notes and even some visiting card thrown in water. We took Amma’s darshan and there for 15 minutes in the temple.After receiving Prasadam, we moved out of temple and walk through the star shaped path way. On the way back, you will find Tea stalls also. It is worth to pay a visit. The landscape, beautiful scenery, good atmosphere, greenish lawns, fine architecture and 2 tons of gold all combined makes one feel worth of the visit. There is huge, well maintained restaurant in the temple premise.",Sripuram
At starting of every winter I always visit eco park for picnic with my friends and family.So here is my review about the park. If we talk about the accessibility of the park its very big park and have many things to explore there first of all park is decorated with flowers plant and some kind of rare fruit plants again this park also include some staffs which makes ur picnic memorable like cycling boating and other water and land based rides. If we talk about local site seeing we can find here dummy sets of seven wonders of the world and many other things like water musical fountain which entertain you fully. Hotels inside the park is quite expensive but as the maintenance of the park is quite well its worthy to spent some extra money. Park is save and secure because it's under 24×7 cctv surveillance and have many security guards to take care of the park. It is the best park in the city and I recommend everyone to visit this park for picnic.,Eco Park - New Town - Kolkata
"Daltonganj is a more developing town  among the towns of the jharkhand state. it is also known as Medininagar. it is basically, located on the palamu division in the district of palamu. it is 18th centuries established town in palamu district. Daltonganj is situated on the approxmately 180 kms. away from Birsa Munda Airport in North-west direction. it is approxamately 170 kms. away from ranchi the capital city of jharkhnad via NH39. in this city has a chianki hawai adda and a bus stand from where the transpotation system is running to the almost all cities & towns of jharkhand as well as its neighbour states like bihar, chhattishgarh, west bangal, orrisa & utter pradesh. it has a small railway station with poor accessability of trains but only few trains manage the crowd population of this city in lackadaisial way. from the Daltonganj railway station no one  taxi or cab facility are available to pick up. only private four wheeler & auto pick up the travellers with no safety, because of road are very poor, so there accident is likely to seen usually. In Daltonganj only a few sight that is likely to be seen like palamu old fort and Betla national park. palamu old fort is located on around 20 kms. south east of daltonganj. it is a old & famous place of chero dynasty. Betla national park is a famous national park i.e. located in latehar district around 24 kms. away from daltonganj via NH39. it is scattered in around 1 kmsq. it is known as india's 1st tiger reserve. LX INN Hotel & resturant, hotel manas, hotel jayashree, hotel nirwana, hotel chandra residency and like on hotels are available in daltonganj. in these hotels faciltiy are poor to average. foods & beverages items are limited comparative to other towns even also quality is poor. these hotels have a small parking facility and not safe to stay. presently, Daltonganj is not the safe place to freely move in the town. according to news reports many crimes have been committed in around a day. law & order system is almost dead.",Daltonganj
3 days ago I have been to kolkata.At evening I had to return so I was searching a place to spend some time someone suggested me to visit Eco park so I went there. This park is very good and eco friendly park. Accessibility is good lot of plants and flowers in the park can attract people. Different varities of flowers and plants you can see there. The park is safe for visitors as cctv camera is there. Local sight seeing is good there is a dummy of seven wonders in the park which looks great. Restaurants inside the park is quite expensive. The park is well maintained and clean. The best thing is there is so much space outside for parking Overall it is a good place to hanging out with friends.,Eco Park - New Town - Kolkata
I visited this park on last month with my some friend. Eco Park is a big natural park and very good place that I know from my friends. But after visiting my concept was totally changed. What a bad management of this park. I saw almost every conner of the park is full of couple and their sextual activities. I just wondered to see that no one of the park management staff looked up those activities. So friends if u plan to visit this park please don't come with your family. Besides its cleaning may be not done every day because I saw many plastics and garbage on the road inside the park. Otherwise its natural seen is good. Specially in winter it became more attractive. That's my opinion.,Eco Park - New Town - Kolkata
"Daltonganj got its name afetr Edward Dalton, who was the district commissioner of this area.It is a city in Jharkhand. I visited this place during a marriage of a friend.We took train from Kolkata and got down at Daltonganj. Their is no direct train to daltonganj, few trains from kolkata goes via Daltonganj and give a stopage for 5-10 min maximum.The city has a touch of both modern city and old city.The city has both shopping mall and old old monuments. We have gone there in the month of March for seven days.We visited few historical places and the famous Betla National Park.We visited Palamau Fort in Aurangabad .The forts are between the forest.The fort are in very bad condition .Belta National park is famous for tigers.The park also has bears, wolf, jackal and hyena.The park is a great place but needs some maintenance. Hanuman temple is also a nice place to visit which is located in the center of daltonganj main market. The place is best to visit in March as it gets too hot in the month of summer.The places are need serious maintenance specially the forts. People who are living nearby the states should visit this place. Belta national park is a must visit place for people who loves wild live photography and loves nature.",Daltonganj
"Hi my name is Souvik Mukherjee. Today I am gonna talk about ecopark. A park means where people can spend there quality time with family and friends and ride some rides if needed. But ecopark is more than a park. It's actually based on a project of west bengals C.M Mamta Banerjee's Biswa Bangla Foundation. Now my thoughts about the place. Its a place for everybody, anyone from the age of 10 to 80 can come here and have a great time. This place has Not much rides here but surely has a great environment. If you want to enjoy great time in a calm and healthy environment this place is right for you. Location: The ecopark is located along the Major Arterial Road in Action Area two of Newtown Smart City Kolkata. What's inside: EcoPark is a big place with plenty of things to watch and explore. It has five active zones such as consisting of visitor center, restaurant, food courts and urban museum. It also has two theme areas, one is south theme area and the other one is south theme area. Now in the north theme area it has play ground, utility, tree plantation and water garden. The second theme area is the north theme area and it has consisting of maidan ( open field) , amphitheatre, chinese garden and bonsai garden and many other intreresting things. It has a big lake zone where a bridge is connecting the island and many things to watch. It has Grasslands, Wetlands and Forests. The visiting hours of ecopark is Tuesday to Saturday 12: 00pm to 8: 30pm. It also opens at the same time as this in Holidays and Sundays. It stays closed on Mondays due to mentainance. Park entry and ticket counter closes at 7: 30pm. The entry fee of ecopark is 30/- Thank you. Hope it helps someone.",Eco Park - New Town - Kolkata
"A sneak peak at Bangalore's musical fountain located at Indira Gandhi Musical Fountain Park, Raj Bhawan Road, Bengaluru, Karnataka 560052 can be found on my youtube channel. Just navigate the link: youtube.com/watch?v=vfxBBoS6CG8 Review:- Not exactly an awesome place but a place you might want to visit if you are at Bangalore & have some evening time to spare. Spoiler Alert: Music & Fountain showers may or may not be in sync with each other - so you might have to occasionally switch your audio visual faculties of your mind.:) Watch this video for the experience. Though the kids might enjoy this place, couples would be bored to death:) Overall a nice picnic spot for kids(below 10) followed by a musical fountain. Dont take your teenagers with you - you would be mocked for life:D There are lot of show timings for this but I would suggest to go in the dark to get a better feel of it. Overall it may be a worth seeing place with defined targeted audience",Bangalore
"Some days ago I visited to Kolkata with my friends. Actually I am from Assam, so I did not know very well about kolkata and their places. Our guide Shree Ramesh Bhatt show us the Eco Park, which was so lovely. Before visiting this place, I thought none other place is beautiful more than Assam . The Eco park is famous for couple. Many other couples are there. We really enjoy this place . Ola and Ubers are come to their. The entry fees is just 20 rupees. The full park is Eco friendly well maintained and fully WiFi enable park. This park includes a large lake which makes the place cool during summer too. This place is very safe for public. Specially winter it become more attractive. This is must visited place in Kolkata.",Eco Park - New Town - Kolkata
"This is the one of the best place to visit in Kolkata. The place is eco-friendly . The green atmosphere will relax your mind to great extent. You can come here with friends and have a great time enjoying the beauty of this place. There are many restaurants, hotels etc also adjacent to Eco Park. It is easily accessible from any parts of Kolkata. You can find many buses, Ola or Uber to come to this place .This place is well connected with other notable sightseeing spots in Kolkata namely Science City, Victoria Memorial and many other beautiful places. The place is safe for tourists and all the safety measures are taken for the people to enjoy the beauty of this place.",Eco Park - New Town - Kolkata
I visited to ECO PARK NEW TOWN KOLKATA with my mom dad and sister last month.The entry fee was very good it was only 20 Rs each.When we entered the park we found it was very big but the park was not maintained properly by the management.We found there many polythene bag chips packet even some condom were spread here and there.I felt very awkward in front of my family really very bad management.The food was very expensive there comparing to the other.Very few vehicle available even the auto were not available.We have faced problem with vehicle.This park is not good for family but yes very good for couple I have notice there.So I recommend to every one don't go with your family and kids as I have noticed uncensored and nude activities there.,Eco Park - New Town - Kolkata
"It's an awesome place to spent time and picnic. Rides are quite expensive. It is completely amazing. One can go have an awesome experience. Many beautiful thing to see like the copiez of the seven wonders of the world, many gardens including Rise garden , butterfly garden etc the rain forest and mist forest in quite good . Great place if you love nature and need some fresh air. The park is huge with a large variety of rides, foid and other activities for all age groups. The musical fountain is excellent. Special note is the herbal garden which jas huge variety of medicinal plants. Damn beautiful and damn clean.",Eco Park - New Town - Kolkata
"Visakhapatnam is known as the city of destiny. This city is one of those few rare cities where you can find mountains and the beach adjacent to each other. The hill top view, scenic beauty, historical significance, valleys, caves, beaches and many more aspects add significance to the tourist attraction. It is connected in all four ways- air, rail, road and sea. This city has a huge container base, a natural harbor, a film city, ship building company and the list goes on. A well planned city with greenary all around and a must visit for all the people who love travelling and exploring.",Visakhapatnam
"Dear friends, eco park is a very beautiful place of kolkata. Last new year, I visited this place. The evening view of the sides of the lake is very charming and I enjoy this very much with my family.we can find different part of world in this place like RFL tower, Tajmahal, Piramids of mishar, village's view etc.Overall full scenery of eco park is brilliant .There are exists  7 wonders.Entry fee of this park only 30 rupee .there are toy trains, cycle ride, boating etc.Boating was too enjoyable for me.I am a nature lover, This place is for me like heaven.",Eco Park - New Town - Kolkata
"Hii friends, This is Deepak Jangra and I would like to share my personal experience with the Eco Park, New Town, Kolkata. This review is regarding as my personal experience with this place. Recently I visited this place when I and my friends went out on a tour of Kolkata. We visited this place on 24 Dec. 2017. This is an amazing place with natural beauty. This place is famous for its natural beauty.  The trees , plants are full of green. We specially went there to see this place because one of my friend admired this place very much. When we saw this place I thought that my friend told right. There are the copies of seven wonders of the world. There are looking good. There are many beautiful gardens including rise garden and butterfly garden etc. The people of this place are very good in behaviour and helpful.  The hotel facilities is good. They give a good service to the touristers. But they are a little expensive but it is affordable as compare to their facilities. There is no fear of any danger because this place is away from city and there is no fear of robbery or natural and artificial problems. This is a amazing place which give a piece of mind.  The people who wants to see natural beauty should see this place. Thanks for reading my review.",Eco Park - New Town - Kolkata
"I have visited to Eco Park- New Town Kolkata on last year with my family. The entry fee was 20 INR each. I have found the park has not maintained well. There polytene bags surrounds this place, even the staffs doesn't take measure about this. We went for boating with my family, we were charged 150 INR for 30 minutes boat rides and we have found that loving couples were doing nude activities, I felt very awkward in front of my family. The management should restrict such activities in this park. Even the water bodies has not been maintained well as food wastes were floating over the water. The food which we had in this restaurants were very expensive comparing to others, we were charged one plate of chicken showmen 150 INR, 2 litre Kinley mineral water cost 35 INR which is expensive comparing to others. During the return, the empty buses were not available, very time it was fully packed bus in this place. Even the autos were not available here.I haven't had good experience over here. So I can suggest don't go for boating in this park with your kids or with your friends as you can noticed uncensored activities by the couples.",Eco Park - New Town - Kolkata
"Hello Friends ! It's my pleasure to share with you my honest opinion for visiting Eco Park, New Town, Killamarsh.I am visit here for several times.In Kolkata it was a average place for spending some times.In Eco Park lot of people go for picnic & Romance, specially in holidays.In New Town Eco Park is an Urban Park in Rajarhat, Kolkata & the biggest Park so far in India.But, there was nothing interesting to do compare to the other parks.If you visit here for the first time then you will be enjoying good but, after 2/3 times you are felling so boring.The accessibility of this place was not good for the visitors.The local sightseeing of this place was good for the tourisum & the price of the tickets was also reasonable.The safety of this place was also good, local police was always available.Eco Park  was a family Park but, now young generation of boys & girls go here for romance so, if you visit here with children so, Beware.In one day trip it was a average place for visiting & spending some hours with you family & friends. Thanks,",Eco Park - New Town - Kolkata
"Eco park - such a huge land area but notjing to do or enjoy. No proper shades ornplace for shelter is there, washrooms are one or two in such massive area. Rhe whole excitement of going eco park of mine has just ruined away by seeing there nothing to do, just a plain garden to roam about . The seven wonders consists of another ticket money but for what the eco park enttry ticket was , though it has nothing to do with. The workers for the boat riding were too not co operative and misbehaved with me by his sarcasm talks. No proper food or canteen. No safety in water ball game as it is lying in open water.",Eco Park - New Town - Kolkata
"Hi friends. Now I'm going to sharing my peaceful experience about Bangalore. The Bangalore is one of the famous and industrial city in the state of karnataka. I went to Bangalore at 4 times.this is so natural with great places having in the city. First of all the Bangalore is easily accessible by train, bus, flight. First We went to tippu sulthan palace, its very good elegant structure with sculpted ground. The lalbagh botanical garden, fun world, the innovative flim city, butterfly park, wonderla ammusement park, ISKON temple this places are sightseeing in the city. The accommodation is so good, we are stayed in the hotel, the hotel name is THE HOTEL SHEETAL RESIDENCY, this is the  2-star hotel. the nice lighting, good services, the breakfast is free, the accommodation is just 1550rs only. The safety is better than the other hotels because very high clarity of CCTV with security guard at all the times. All the friends and all the family members are just go to the Bangalore. Don't miss it to everyone",Bangalore
"Bangalore, the garden city of India is also known as the Silicon Valley of the country which houses some of the biggest IT companies in addition to its greenery. The capital city of Karnataka, it is located on the Deccan plateau which has off late changed its name to Bengaluru. With a population close to 9 million, it is very easily accessible from most parts of the country and other global locations as well. The city houses some of most iconic structures built in the history such as the Tipu Sultan palace and Mysore palace and is equally rich in its modern culture, also being known as the IT hub of the country. Located at 12.97 degree North 77.5 degree east, it has a cool climate almost throughout the year. It is economically very rich with a PPP GDP close to$80 billion and home to about 10, 000 dollar millionaires. Head quarters of many PSUs like BEL, NAL, BHEL, ISRO and BEML are in Bangalore. The same holds true for most of the IT giants like INFY and WIPRO",Bangalore
Guys today I going to share my personal view it concern over about its a amazing. GUYS BELIEVE MEI THINK IT IS INDIA'S NUMBER ONE PARK. There you must see a amazing local sightseeing. Kolkata mean no problm regarding hotels or restaura I suggest all of you to come at least 1 time. It should a memorable journey for you do not wast your time in thinking just come and enjoy your self. IF I SAY ABOUT SAFETY IT IT IS A WORLD SAFETIEST PLACE COME AND REALISE ITS BEAUTY.,Eco Park - New Town - Kolkata
"Lovely place Eco park is located in Rajarhaat, new Town.According to me this is one of the best place in kolkata which you can't afford to miss. After you enter the park, you will forget the outside world and star living with the beauty of this place.The park has a huge collection of plants, it also has on orchid garden, cactus garden, bamboo garden, and many more. I went there in winter to book clothes for my shop and I found thousands of seasonal flowers in the garden.There are not many hotel near the park but within 5-15 kilometers you will find many hotels. This place is under Government, so safety is not an issue.This place is very safe according to me. Thousands of people visits daily this park.So what you are wating for let's go friends.",Eco Park - New Town - Kolkata
